STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,WESF
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/23/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/24/2020,,,0.11,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/24/2020,,,0.11,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/25/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/25/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/26/2020,,,0.44,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/26/2020,,,0.57,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/26/2020,,,0.45,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/27/2020,,,0,0,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/27/2020,,,0,0,0,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/28/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/29/2020,,,0.08,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/29/2020,,,0.06,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/29/2020,,,0.11,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/30/2020,,,0,0,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/30/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",7/1/2020,,,0.35,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/1/2020,,,0.25,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",7/1/2020,,,0.41,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",7/2/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/2/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",7/3/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",7/3/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",7/4/2020,,,0,,,,
